Срби
Албанци
Бошњаци
Бугари
Буњевци
Власи
Горанци
Југословени
Мађари
Македонци
Муслимани
Немци
Роми
Румуни
Руси
Русини
Словаци
Словенци
Украјинци
Хрвати
Црногорци
