1324.05;Руководилац за систем урбаног транзита
1324.06;Руководилац за снадбевање и дистрибуцију робе
1324.07;Руководилац набавке
1324.08;Руководилац поштанских услуга
1324.09;Руководилац складиштења
1324.1;Руководилац транспорта
1324.11;Руководилац цевоводног транспорта
1324.12;Руководилац шпедиције
1324.13;Технички директор транспорта
1324.14;Управник аутобуске станице
1324.15;Управник железничке станице
1324.16;Управник поште
1324.17;Руководилац механизације
1330.01;Директор за информациони инжењеринг
1330.02;Директор информационих система
1330.03;Директор телекомуникација
1330.04;Руководилац за ИКТ мреже
1330.05;Руководилац за интернет услуге
1330.06;Руководилац за обраду података
1330.07;Руководилац за развој апликација
1330.08;Руководилац за развој информационо-комуникационих технологија
1330.09;Руководилац телекомуникационих услуга
1330.1;Руководилац за сервисирање рачунара и комуникационе опреме
1341.01;Руководилац дома за децу без родитељског старања
1341.02;Руководилац центра за дечју заштиту
1342.01;Директор болнице
1342.02;Директор дома здравља
1342.03;Директор клинике
1342.04;Директор установе здравствене заштите
1342.05;Помоћник директора установе здравствене заштите
1342.06;Руководилац организационе јединице установе здравствене заштите
1343.01;Директор геронтолошког центра
1343.02;Директор дома за стара лица
1343.03;Директор установе за бригу о одраслим лицима
1343.04;Помоћник директора установе за бригу о одраслим лицима
1343.05;Руководилац геронтолошког центра / дома за стара лица
1343.06;Руководилац службе за кућну негу
1343.07;Руководилац службе за негу старих
1344.01;Директор дома за малолетне делинквенте
1344.02;Директор казнено-поправне установе
1344.03;Директор установе социјалне заштите
1344.04;Помоћник директора установе социјалне заштите
1344.05;Руководилац прихватилишта за стара и одрасла лица
1344.06;Руководилац центра за социјални рад
1345.01;Декан факултета
1345.02;Директор високе школе/високе школе струковних студија
1345.03;Директор основне школе
1345.04;Директор предшколске установе
1345.05;Директор средње школе
1345.06;Помоћник директора образовне установе
1345.07;Председник академије струковних студија
1345.08;Продекан факултета
1345.09;Проректор универзитета
1345.1;Ректор универзитета
1345.11;Шеф катедре
1345.12;Шеф департмана
1345.13;Директор установе/центра у неформалном образовању
1346.01;Директор банке
1346.02;Директор за управљање ризицима у банкарству
1346.03;Директор завода/фонда за осигурање
1346.04;Директор осигуравајућег друштва
1346.05;Директор филијале за осигурање имовине и лица
1346.06;Руководилац агенције за осигурање
1346.07;Руководилац експозитуре банке
1346.08;Руководилац за банкарско извештавање, анализу и моделирање
1346.09;Руководилац за контролу усклађености пословања банке
1346.1;Руководилац за кредитни портфолио
1346.11;Руководилац за наплату потраживања
1346.12;Руководилац за реструктурирање и специјализовану подршку клијентима
